id,name,gender,age,template,grades,subject,G10.semester1,G10.semester2,G10.yearAvg,G10.total,G11.semester1,G11.semester2,G11.yearAvg,G11.total,G12.semester1,G12.semester2,G12.yearAvg,G12.total
276,Miguel Beadle,Male,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,22,85,54,107,59,79,69,138,72,22,47,94
277,Bernard Colquyte,Male,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,79,10,45,89,24,100,62,124,34,37,36,71
278,Archibold Loxston,Male,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,42,8,25,50,24,49,37,73,49,24,37,73
279,Aubree Gullefant,Female,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,58,73,66,131,87,66,77,153,55,20,38,75
280,Reinhold Dunhill,Male,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,70,2,36,72,0,87,44,87,14,100,57,114
281,Giavani Beinke,Male,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,8,44,26,52,1,35,18,36,45,85,65,130
282,Adelind Onele,Female,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,13,13,13,26,20,64,42,84,86,2,44,88
283,Manya Beckinsale,Female,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,45,28,37,73,27,48,38,75,49,35,42,84
284,Had Somerled,Male,20,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,72,53,63,125,99,98,99,197,55,61,58,116
285,Consolata Helian,Female,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,16,55,36,71,37,16,27,53,6,85,46,91
286,Arleta Simecek,Female,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,32,27,30,59,39,2,21,41,77,70,74,147
287,Tildie Boorer,Female,18,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,23,6,15,29,57,17,37,74,86,45,66,131
288,Natalie Anespie,Female,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,64,73,69,137,3,33,18,36,95,56,76,151
289,Kissie Medendorp,Female,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,32,11,22,43,91,62,77,153,87,75,81,162
290,Daron Normanell,Female,20,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,0,99,50,99,67,4,36,71,15,80,48,95
291,Afton Teager,Female,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,78,61,70,139,82,52,67,134,4,34,19,38
292,Jodee Pyott,Female,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,66,65,66,131,63,18,41,81,33,58,46,91
293,Audre Otton,Female,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,94,30,62,124,9,39,24,48,100,75,88,175
294,Ellene Meneghi,Female,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,60,25,43,85,93,77,85,170,37,94,66,131
295,Isidoro Brinsford,Male,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,66,88,77,154,15,99,57,114,53,35,44,88
296,Olenolin Sallows,Male,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,38,67,53,105,19,18,19,37,30,95,63,125
297,Stanfield Whitland,Male,20,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,63,65,64,128,72,44,58,116,100,1,51,101
298,Catherin Whitters,Female,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,60,30,45,90,71,51,61,122,21,99,60,120
299,Cale Beatens,Male,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,76,6,41,82,50,18,34,68,8,52,30,60
300,Sigvard Teasdale,Male,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,55,50,53,105,40,98,69,138,45,58,52,103
